date,TEDRATE
2015-05-01,0.2636842105263158
2015-06-01,0.26772727272727276
2015-07-01,0.25863636363636366
2015-08-01,0.248
2015-09-01,0.31
2015-10-01,0.3061904761904762
2015-11-01,0.24421052631578946
2015-12-01,0.30523809523809525
2016-01-01,0.3636842105263158
2016-02-01,0.311
2016-03-01,0.33714285714285713
2016-04-01,0.40476190476190477
2016-05-01,0.3685
2016-06-01,0.38227272727272726
2016-07-01,0.40049999999999997
2016-08-01,0.5154545454545455
2016-09-01,0.559047619047619
2016-10-01,0.5525
2016-11-01,0.4615
2016-12-01,0.471
2017-01-01,0.5135
2017-02-01,0.521578947368421
2017-03-01,0.3978260869565218
2017-04-01,0.36333333333333334
2017-05-01,0.29285714285714287
2017-06-01,0.28045454545454546
2017-07-01,0.2404761904761905
2017-08-01,0.29772727272727273
